46,164.9256
Motion, Set, MotionFinishedCount, Guess, Truth, Timer, 44, 196.8369
0,0, 0, FlameBlock, Nothing, 3.216667
3,3, 0, Nothing, FlameBlock, 9.500001
1,2, 1, Nothing, Fireball, 12.68333
2,20, 0, Flames, Flames, 15.86667
3,6, 0, Fireball, FlameBlock, 18.96667
0,6, 0, Fireball, Nothing, 22.06667
1,1, 1, FlameBlock, Fireball, 25.26667
1,4, 0, Nothing, Fireball, 28.4
3,7, 0, Nothing, FlameBlock, 31.51667
1,4, 1, Nothing, Fireball, 34.88334
3,3, 1, Nothing, FlameBlock, 38.16667
3,7, 1, Nothing, FlameBlock, 41.36667
3,9, 0, Nothing, FlameBlock, 44.48334
0,11, 0, Flames, Nothing, 47.85
1,2, 2, Nothing, Fireball, 50.98334
2,21, 2, Nothing, Flames, 54.23334
2,4, 0, Nothing, Flames, 57.53334
2,13, 0, FlameBlock, Flames, 63.9
3,5, 2, Nothing, FlameBlock, 67.10001
0,6, 1, Fireball, Nothing, 70.28334
1,6, 6, FlameBlock, Fireball, 76.51667
2,14, 0, Flames, Flames, 79.60001
3,3, 3, Flames, FlameBlock, 86.08334
0,0, 2, FlameBlock, Nothing, 92.76667
2,18, 2, Nothing, Flames, 96.00001
3,2, 0, Flames, FlameBlock, 99.21667
2,4, 2, Nothing, Flames, 102.3667
2,10, 1, Flames, Flames, 115.2333
0,12, 1, FlameBlock, Nothing, 118.5
0,8, 0, Fireball, Nothing, 121.7167
2,19, 1, Fireball, Flames, 125.0667
0,3, 1, Nothing, Nothing, 134.8333
1,5, 6, Nothing, Fireball, 144.3667
0,2, 3, FlameBlock, Nothing, 147.4667
0,6, 3, Fireball, Nothing, 150.6667
1,1, 6, FlameBlock, Fireball, 153.9333
2,4, 3, Nothing, Flames, 157.1667
0,0, 3, Flames, Nothing, 163.5
2,12, 1, FlameBlock, Flames, 170.05
2,16, 3, FlameBlock, Flames, 173.35
2,16, 4, FlameBlock, Flames, 176.5333
3,0, 0, Nothing, FlameBlock, 183
0,4, 0, FlameBlock, Nothing, 186.2
1,6, 14, Nothing, Fireball, 192.5833
3,4, 0, Nothing, FlameBlock, 195.7
1,3, 7, Nothing, Fireball, 198.9667
0,6, 4, FlameBlock, Nothing, 202.1667
0,8, 1, Fireball, Nothing, 205.4333
1,0, 13, Nothing, Fireball, 208.6667
3,5, 3, Flames, FlameBlock, 215.1167
3,8, 1, Nothing, FlameBlock, 224.7334
1,5, 13, FlameBlock, Fireball, 227.8333
1,0, 17, Nothing, Fireball, 231.15
3,9, 4, Fireball, FlameBlock, 237.5667
2,12, 3, Flames, Flames, 243.9667
1,2, 13, Nothing, Fireball, 247.0833
2,7, 5, Flames, Flames, 250.3
3,7, 3, Nothing, FlameBlock, 253.6
3,4, 2, Nothing, FlameBlock, 256.8333
0,1, 0, Fireball, Nothing, 263.1833
1,2, 17, Nothing, Fireball, 266.3167
1,1, 16, Nothing, Fireball, 269.5667
0,9, 1, Flames, Nothing, 272.7333
0,0, 5, FlameBlock, Nothing, 275.9167
2,0, 7, Flames, Flames, 279.2
1,1, 17, Fireball, Fireball, 282.3834
1,0, 22, FlameBlock, Fireball, 286
0,8, 3, Fireball, Nothing, 288.8834
3,2, 4, Nothing, FlameBlock, 292.0167
3,4, 4, Nothing, FlameBlock, 295.3
2,21, 5, FlameBlock, Flames, 298.5833
2,14, 3, Nothing, Flames, 301.7333
2,11, 5, Fireball, Flames, 305.0833
1,1, 21, Nothing, Fireball, 308.3167
0,2, 4, Nothing, Nothing, 311.6167
3,7, 4, Nothing, FlameBlock, 314.9167
3,3, 7, Nothing, FlameBlock, 318.1833
2,0, 8, Fireball, Flames, 321.4833
1,3, 13, Nothing, Fireball, 324.8333
