I0,I1,I2,States,,IsTrue,IsFalse
0.4062227,134.0556,19.70934,FALSE,,,0.4062227
0.5029938,130.3077,19.33817,FALSE,,,0.5029938
0.5127996,135.1503,21.41713,FALSE,,,0.5127996
0.7551844,117.3964,15.70315,FALSE,,,0.7551844
0.8675857,116.8236,15.38184,FALSE,,,0.8675857
0.7662445,136.3903,22.62593,FALSE,,,0.7662445
0.7579742,136.7528,26.03462,FALSE,,,0.7579742
0.7409714,128.3068,27.87179,FALSE,,,0.7409714
0.417968,154.748,116.0636,FALSE,,,0.417968
0.404767,153.3989,113.7791,FALSE,,,0.404767
0.895656,123.379,28.77124,FALSE,,,0.895656
0.9432999,129.1635,27.35715,FALSE,,,0.9432999
0.937617,124.8954,28.05478,FALSE,,,0.937617
0.9687499,117.3018,33.53342,FALSE,,,0.9687499
0.9647281,114.712,34.44032,FALSE,,,0.9647281
0.9959621,114.2832,34.89995,FALSE,,,0.9959621
1.066912,113.3727,35.93599,FALSE,,,1.066912
1.115271,112.6131,37.95282,FALSE,,,1.115271
1.100011,110.7173,40.38649,FALSE,,,1.100011
1.114123,108.7361,41.53195,FALSE,,,1.114123
1.140809,108.3667,43.21268,FALSE,,,1.140809
1.142321,107.9783,45.74556,FALSE,,,1.142321
1.138524,107.5534,47.49641,FALSE,,,1.138524
1.139097,105.2689,49.11405,FALSE,,,1.139097
1.127552,106.2367,50.85118,FALSE,,,1.127552
1.124305,109.1046,52.87809,FALSE,,,1.124305
1.128713,109.1288,54.02732,FALSE,,,1.128713
1.08411,107.7567,56.10746,FALSE,,,1.08411
1.061311,106.7453,58.31105,FALSE,,,1.061311
1.071948,106.9549,58.58855,FALSE,,,1.071948
1.093214,107.0525,59.70151,FALSE,,,1.093214
1.076188,106.7564,61.8231,FALSE,,,1.076188
1.018221,106.8057,63.71662,FALSE,,,1.018221
0.9870209,108.1582,64.78684,FALSE,,,0.9870209
0.9845109,107.836,65.46217,FALSE,,,0.9845109
0.9466584,106.981,64.67763,FALSE,,,0.9466584
0.9356718,105.8066,68.30143,FALSE,,,0.9356718
0.9791216,105.8201,72.22231,FALSE,,,0.9791216
0.9505372,106.6695,71.79324,FALSE,,,0.9505372
0.908605,106.0967,71.63032,FALSE,,,0.908605
0.8607243,105.751,71.75127,FALSE,,,0.8607243
0.84609,104.8698,72.34534,FALSE,,,0.84609
0.8788003,104.0523,74.68112,FALSE,,,0.8788003
0.8916962,104.3697,77.2919,FALSE,,,0.8916962
0.8981383,104.8268,78.68501,FALSE,,,0.8981383
0.9453596,103.878,81.06615,FALSE,,,0.9453596
0.9634115,103.0534,82.41095,FALSE,,,0.9634115
0.9128101,104.6078,83.70882,FALSE,,,0.9128101
0.8916321,105.6236,86.37126,FALSE,,,0.8916321
0.9005597,105.2591,87.41769,FALSE,,,0.9005597
0.9180708,103.8295,87.53819,FALSE,,,0.9180708
0.9175462,102.1643,89.12554,FALSE,,,0.9175462
0.9419437,103.9963,92.92533,FALSE,,,0.9419437
0.9420708,104.5418,95.77175,FALSE,,,0.9420708
0.9330711,103.2716,97.0127,FALSE,,,0.9330711
0.9288098,103.3302,98.67619,FALSE,,,0.9288098
0.8111622,106.9616,99.8241,FALSE,,,0.8111622
0.8037056,104.9906,100.2727,FALSE,,,0.8037056
0.9331841,97.70101,101.644,FALSE,,,0.9331841
0.9198298,99.83359,105.2205,FALSE,,,0.9198298
0.8791522,102.9398,109.1822,FALSE,,,0.8791522
0.8703369,99.98724,110.7002,FALSE,,,0.8703369
0.8540131,97.92635,111.9993,FALSE,,,0.8540131
0.8678242,98.33331,113.595,FALSE,,,0.8678242
0.878269,98.32629,114.1081,FALSE,,,0.878269
0.8693455,97.64848,114.7899,FALSE,,,0.8693455
0.8509142,95.90968,116.5088,FALSE,,,0.8509142
0.8354377,93.59915,118.0513,FALSE,,,0.8354377
