I0,I1,I2,States
0.03168276,0.7448127,0.09527473,False
0.03927176,0.7239833,0.09316622,False
0.04004076,0.7508971,0.1049763,False
0.0590491,0.652227,0.07251655,False
0.06786386,0.6490437,0.07069129,False
0.05991646,0.7577884,0.1118432,False
0.05926788,0.759803,0.1312072,False
0.05793449,0.7128633,0.1416436,False
0.03260386,0.8598137,0.6426399,False
0.03156861,0.8523161,0.6296619,False
0.07006519,0.685476,0.1467532,False
0.07380153,0.7176247,0.1387201,False
0.07335586,0.693904,0.1426832,False
0.07579737,0.6517016,0.173806,False
0.07548197,0.6373084,0.1789579,False
0.07793141,0.634925,0.1815689,False
0.08349545,0.6298651,0.1874544,False
0.08728787,0.6256435,0.1989115,False
0.08609112,0.6151072,0.2127366,False
0.08719785,0.6040961,0.2192437,False
0.08929063,0.6020433,0.2287915,False
0.08940916,0.5998846,0.2431802,False
0.08911144,0.5975231,0.2531264,False
0.08915633,0.5848269,0.2623158,False
0.088251,0.5902054,0.272184,False
0.08799634,0.6061445,0.2836984,False
0.08834206,0.6062785,0.2902268,False
0.08484413,0.5986533,0.3020436,False
0.08305625,0.5930319,0.3145617,False
0.08389038,0.5941973,0.3161381,False
0.0855581,0.5947395,0.3224605,False
0.0842229,0.5930941,0.3345128,False
0.07967703,0.5933679,0.3452694,False
0.07723022,0.6008847,0.3513491,False
0.07703339,0.5990936,0.3551855,False
0.07406491,0.5943422,0.3507287,False
0.07320332,0.5878151,0.3713146,False
0.07661074,0.58789,0.3935882,False
0.0743691,0.5926108,0.3911507,False
0.07108068,0.5894274,0.3902252,False
0.06732576,0.5875061,0.3909123,False
0.06617811,0.5826088,0.394287,False
0.06874333,0.5780653,0.4075561,False
0.06975465,0.5798296,0.4223873,False
0.07025986,0.5823696,0.4303012,False
0.07396305,0.5770965,0.4438279,False
0.07537872,0.572514,0.4514674,False
0.07141045,0.581153,0.4588403,False
0.06974963,0.5867982,0.4739649,False
0.07044975,0.5847723,0.4799094,False
0.07182301,0.5768273,0.480594,False
0.07178187,0.5675725,0.4896113,False
0.07369517,0.5777544,0.511197,False
0.07370514,0.580786,0.5273668,False
0.07299936,0.5737265,0.5344164,False
0.07266518,0.5740522,0.5438662,False
0.063439,0.5942341,0.5503872,False
0.06285424,0.5832801,0.5529357,False
0.07300822,0.5427672,0.5607254,False
0.07196095,0.5546193,0.5810431,False
0.06877093,0.5718828,0.6035485,False
0.06807961,0.5554733,0.6121716,False
0.06679947,0.5440196,0.6195518,False
0.06788256,0.5462813,0.6286162,False
0.06870166,0.5462423,0.6315313,False
0.06800187,0.5424753,0.6354042,False
0.06655644,0.5328117,0.6451688,False
0.06534274,0.5199706,0.6539314,False
0.06476045,0.5198842,0.6627452,False
0.06477411,0.5216493,0.6694372,False
0.06585619,0.5173566,0.6710925,False
0.06907599,0.5170094,0.6776004,False
0.06891509,0.5191225,0.6865411,False
0.06642202,0.5080235,0.6907008,False
0.06775108,0.4960724,0.6914579,False
0.06913564,0.498809,0.6987415,False
0.06938536,0.5093157,0.7124812,False
0.07066184,0.5108739,0.7216986,False
0.07278588,0.5028647,0.734363,False
0.0725891,0.5015327,0.7449508,False
0.07265119,0.5072674,0.7526551,False
0.07264633,0.5023926,0.7580779,False
0.07207201,0.4928191,0.7675838,False
0.07245366,0.4911977,0.787445,False
0.0714284,0.4894795,0.7978757,False
0.07216849,0.4940007,0.7965361,False
0.07424372,0.4950254,0.8031036,False
0.0748891,0.4904559,0.8151653,False
