Right, Wrong, Bool
1611,1390,1
2162,839,1
2411,590,1
2541,460,1
2637,364,1
2793,208,1
2634,367,1
2544,457,1
2682,319,1
2689,312,1
2842,159,1
2765,236,1
2677,324,1
2772,229,1
2711,290,0
2655,346,0
2707,294,1
2680,321,1
2765,236,1
2812,189,1
2702,299,1
2734,267,1
2796,205,1
2825,176,1
2696,305,1
2755,246,1
2788,213,1
2753,248,1
2755,246,1
2774,227,1
2783,218,1
2721,280,1
2731,270,1
2763,238,1
2798,203,1
2789,212,1
2719,282,1
2799,202,1
2801,200,1
2768,233,1
2769,232,1
2761,240,1
2811,190,1
2746,255,1
2815,186,1
2666,335,1
2705,296,1
2795,206,1
2837,164,1
2821,180,1
2755,246,1
2733,268,1
2798,203,1
2862,139,1
2803,198,1
2822,179,1
2826,175,1
2834,167,1
2780,221,1
2782,219,1
2805,196,1
2859,142,1
2766,235,1
2785,216,1
2803,198,1
2777,224,1
2752,249,1
2799,202,1
2812,189,1
2815,186,1
2809,192,1
2848,153,1
2766,235,1
2798,203,1
2815,186,1
2795,206,1
2807,194,1
2817,184,1
2798,203,1
2836,165,1
2820,181,1
2775,226,0
2771,230,1
2843,158,1
2847,154,1
2783,218,1
2827,174,1
2831,170,1
2862,139,1
2808,193,1
2818,183,1
2800,201,1
2779,222,1
2803,198,1
2823,178,1
2770,231,1
2779,222,1
2806,195,1
2849,152,1
2763,238,1
2807,194,1
2855,146,1
2806,195,1
2814,187,1
2844,157,1
2887,114,1
2771,230,1
2888,113,1
2833,168,1
2807,194,1
2837,164,1
2904,97,1
2833,168,1
2857,144,1
2881,120,1
2857,144,1
2874,127,1
2817,184,1
2809,192,1
2790,211,0
2841,160,1
2752,249,1
2837,164,1
